video_name,label
nile_red_2,1
dd5599c094537cb9fd32f33f43c06f87_1920x1080_30,0
talyor_swift_3,1
70e80388aae75b945e5000eb7ade4a6a_1920x1080_30,0
will_smith_2,1
08ee5edb9729f2ef9f23f013430ebad2_1920x1080_30,0
chris_evans_1,1
nile_red_3,1
f7f3006b0dd30837800512a787c5ea51_1920x1080_30,0
1eec2811670a1dfa0f697d099b0dfcdb_1920x1080_30,0
will_smith_1,1
bf651fe77adc82771c0b55a77b7ca8c4_1920x1080_30,0
zoe_saldana_3,1
6cb2bf5384212402d39fc2653df913b7_1920x1080_30,0
anna_taylor_joy_3,1
bruce_willis_1,1
4d4d189e384d477b27a3a3dbbf73b444_1920x1080_30,0
lee_ji_eun_3,1
e9d9cee75745b4cc77e149448d8855d3_1080x1920_30,0
c6c1df8bbe1d197185a4e642e21e55de_1920x1080_30,0
arnold_schwarzenegger_1,1
arnold_schwarzenegger_2,1
29bc4735c59b78526cb798df4a84dfb0_1080x1920_30,0
c336480c9cb3ec3e6c50f55f63fafb23_1920x1080_30,0
ab176533d2c6eedb32461fbbb6593223_1080x1920_30,0
eb3680da049bc6cb92a483a917a03449_1920x1080_30,0
a3f85462e2037076ac2b612dc701bba7_1080x1920_30,0
salma_hayek_2,1
usher_2,1
talyor_swift_2,1
nicole_kidman_3,1
lee_ji_eun_2,1
chris_evans_3,1
facd01b213b62c75ffb4b6a9f8222a25_1920x1080_30,0
c67611cc32af5603f4f501e65b77c886_1080x1920_30,0
c3089ec3080756f925b5b83fb66af24c_1920x1080_30,0
b3683f20cd1b116bcef69df7f5425905_1080x1920_30,0
bruce_willis_3,1
8cbbea84e2cd12766791a12390569aaf_1920x1080_30,0
will_smith_3,1
8090e541f25d87d35507d7e12500c95c_1920x1080_30,0
salma_hayek_1,1
anna_taylor_joy_2,1
9c02f633262ef15f81eab1f2fa06faa5_1920x1080_30,0
chris_evans_2,1
nicole_kidman_2,1
tian_yiming_2,1
salma_hayek_3,1
92d3da54d22e81729747f7eb610af4f2_1920x1080_30,0
91154c046bba79ee8b24550a8cb2870b_1920x1080_30,0
8bff85c461e9f6ae39f3900d581b1d05_1920x1080_30,0
3e7bd8b1e9bc081457559851a5012d14_1920x1080_30,0
218522b5c782bfd3a4ed1ed57b0686a0_1920x1080_30,0
31ce85afe440564f525a418ec16340bc_1920x1080_30,0
lucy_liu_1,1
arnold_schwarzenegger_3,1
0296bcc0fdd2a47380e798289dcc099f_1080x1920_30,0
fd3202c6d0436d7ed3b479bc00b045db_1080x1920_30,0
2326ac1d3e069fbd86e2ca79082e19f9_1920x1080_30,0
e47c246f3c2f0f66eca1a08aea644c57_1080x1920_30,0
lee_ji_eun_1,1
d639c8cb4e4b3521296fbd2dc0b63c5e_1920x1080_30,0
be19ce722a9e52e2613a6d8f775af82d_1920x1080_30,0
usher_1,1
f72a8ac49cce8aac59171c3671e22b9b_1920x1080_30,0
nicole_kidman_1,1
usher_3,1
lucy_liu_3,1
ef8bffd0579e4c02b4d8bea44419c813_1920x1080_30,0
tian_yiming_1,1
anna_taylor_joy_1,1
tian_yiming_3,1
db623c6fff8ffffa6615170d6f8cbfd7_1920x1080_30,0
af5d2889657072d100b0b08f27719568_1920x1080_30,0
zoe_saldana_2,1
nile_red_1,1
fda953f258d38f3368f4c8fdc774756e_1920x1080_30,0
talyor_swift_1,1
lucy_liu_2,1
bruce_willis_2,1
a4ea08e72606fb7ebd4347d79262823f_1920x1080_30,0
d02c5cdaee1215360fb80240d7a8901f_1080x1920_30,0
9bd3195d97edad5f200b325825dbb729_1920x1080_30,0
zoe_saldana_1,1
